order,id,titleRu,titleOriginal,year,franchise,difficulty,recognizability,spoiler,catalogAction,motifs
1,dtf-cyberpunk-2077,Cyberpunk 2077,Cyberpunk 2077,2020,Cyberpunk,easy,0.99,low,resolve_existing,сломанный релиз | старые консоли | патчи и искупление | возвращение после аниме | Киану Ривз
2,dtf-starfield,Starfield,Starfield,2023,Starfield,easy,0.96,low,resolve_existing,тысяча планет | загрузочные экраны | моды всё исправят | формула Bethesda | пустой космос
3,dtf-atomic-heart,Atomic Heart,Atomic Heart,2023,Atomic Heart,easy,0.98,low,resolve_existing,наш BioShock | VK Play | Близняшки | холодильник | трассировка лучей позже
4,dtf-the-last-of-us-part-ii,Одни из нас: Часть II,The Last of Us Part II,2020,The Last of Us,easy,0.99,high,resolve_existing,утечки | сюжетный раскол | гольф | Эбби | бесконечные споры
5,dtf-baldurs-gate-3,Baldur’s Gate 3,Baldur's Gate 3,2023,Baldur's Gate,easy,0.98,low,resolve_existing,медведь | эталон RPG | кубики | ранний доступ | бочки
6,dtf-death-stranding,Death Stranding,Death Stranding,2019,Death Stranding,easy,0.97,medium,resolve_existing,симулятор курьера | гений Кодзима | лестницы | социальные связи | предсказал пандемию
7,dtf-elden-ring,Elden Ring,Elden Ring,2022,Souls,easy,0.98,low,resolve_existing,git gud | Маления | пеплы духов | нет журнала заданий | болото
8,dtf-bloodborne,Bloodborne,Bloodborne,2015,Souls,easy,0.97,low,resolve_existing,порт на ПК | 60 FPS | ремастер на каждой презентации | Ярнам | эксклюзив PlayStation
9,dtf-red-dead-redemption-2,Red Dead Redemption 2,Red Dead Redemption 2,2018,Red Dead,easy,0.98,low,resolve_existing,медленный пролог | реализм | Артур Морган | анимации всего | шедевр или душно
10,dtf-the-witcher-3,Ведьмак 3: Дикая Охота,The Witcher 3: Wild Hunt,2015,The Witcher,easy,0.99,low,resolve_existing,эталон RPG | сравнение со всеми играми | Гвинт | Плотва на крыше | народная игра
11,dtf-disco-elysium,Disco Elysium,Disco Elysium,2019,Disco Elysium,medium,0.94,medium,resolve_existing,проиграть стулу | политические эссе | внутренние голоса | нет боёв | драма ZA/UM
12,dtf-skyrim,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,2011,The Elder Scrolls,easy,0.99,low,resolve_existing,переиздания | моды | лучник-скрытник | телега | стрела в колено
13,dtf-fallout-76,Fallout 76,Fallout 76,2018,Fallout,medium,0.92,low,resolve_existing,баги на релизе | нейлоновая сумка | нет NPC | онлайн Fallout | долгое исправление
14,dtf-no-mans-sky,No Man’s Sky,No Man's Sky,2016,No Man's Sky,medium,0.95,low,resolve_existing,обещания Шона Мюррея | провальный запуск | бесплатные обновления | реабилитация | процедурные планеты
15,dtf-grand-theft-auto-v,Grand Theft Auto V,Grand Theft Auto V,2013,Grand Theft Auto,easy,0.99,low,resolve_existing,три поколения | GTA Online | акульи карты | нет сюжетного DLC | вечные продажи
16,dtf-stalker-2,S.T.A.L.K.E.R. 2: Сердце Чернобыля,S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024,S.T.A.L.K.E.R.,easy,0.98,low,resolve_or_import,баги как аномалии | A-Life 2.0 | долгая разработка | атмосфера Зоны | патчи
17,dtf-hogwarts-legacy,Hogwarts Legacy,Hogwarts Legacy,2023,Wizarding World,easy,0.97,low,resolve_existing,бойкот | продажи вопреки спору | редактор персонажа | школьная мечта | Мерлинские испытания
18,dtf-helldivers-2,Helldivers 2,Helldivers 2,2024,Helldivers,medium,0.94,low,resolve_existing,управляемая демократия | дружественный огонь | PSN-скандал | серверы | война сообщества
19,dtf-dragon-age-the-veilguard,Dragon Age: На страже Завесы,Dragon Age: The Veilguard,2024,Dragon Age,medium,0.9,low,resolve_or_import,это ещё Dragon Age? | диалоги | редактор персонажа | культурная война | слабее ожиданий
20,dtf-the-day-before,The Day Before,The Day Before,2023,The Day Before,medium,0.93,low,resolve_or_import,скам | смена жанра | волонтёры | переносы | закрытие через дни
21,dtf-concord,Concord,Concord,2024,Concord,hard,0.86,low,resolve_or_import,восемь лет разработки | две недели жизни | возвраты | невыразительные герои | закрытие Firewalk
22,dtf-assassins-creed-shadows,Assassin’s Creed Shadows,Assassin's Creed Shadows,2025,Assassin's Creed,medium,0.92,low,resolve_or_import,Ясукэ | историческая достоверность | переносы | Япония | культурная война
23,dtf-silent-hill-2-remake,Silent Hill 2,Silent Hill 2,2024,Silent Hill,medium,0.94,medium,resolve_or_import,не верили Bloober | лица персонажей | боевой трейлер | успешный ремейк | туман
24,dtf-kingdom-come-deliverance-ii,Kingdom Come: Deliverance II,Kingdom Come: Deliverance II,2025,Kingdom Come,medium,0.93,low,resolve_or_import,историческая достоверность | Генри пришёл | спасительный шнапс | грязь и быт | успешный сиквел
25,dtf-clair-obscur-expedition-33,Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,2025,Clair Obscur,medium,0.93,low,resolve_or_import,маленькая команда | стыд AAA | французская эстетика | пошаговые бои | Художница
26,dtf-gothic-ii,Готика II,Gothic II,2002,Gothic,medium,0.96,low,resolve_existing,лучшая RPG навсегда | управление | Хоринис | Безымянный | Ночь Ворона
27,dtf-heroes-of-might-and-magic-iii,Герои Меча и Магии III,Heroes of Might and Magic III,1999,Heroes of Might and Magic,easy,0.99,low,resolve_existing,ещё один ход | HotA | Некрополис | шаблоны карт | не стареет
28,dtf-pathologic-2,Мор,Pathologic 2,2019,Pathologic,hard,0.88,medium,resolve_existing,страдание как дизайн | голод | чума | нельзя спасти всех | русский артхаус
29,dtf-escape-from-tarkov,Escape from Tarkov,Escape from Tarkov,2025,Escape from Tarkov,medium,0.96,low,resolve_or_import,вайпы | читеры | звук шагов | издания | выход с лутом
30,dtf-mass-effect-3,Mass Effect 3,Mass Effect 3,2012,Mass Effect,medium,0.96,high,resolve_existing,три цвета | концовка | Extended Cut | выборы трилогии | Жнецы
